date,property_id,competitor_id,competitor_name,competitor_price,competitor_available_rooms,competitor_rating
2022-01-01,PROP001,COMP_1,Competitor Hotel 1,99.58,50,3.5
2022-01-01,PROP001,COMP_2,Competitor Hotel 2,126.49,22,4.6
2022-01-01,PROP001,COMP_3,Competitor Hotel 3,61.26,38,3.9
2022-01-01,PROP001,COMP_4,Competitor Hotel 4,86.0,1,4.0
2022-01-01,PROP002,COMP_1,Competitor Hotel 1,83.29,20,4.6
2022-01-01,PROP002,COMP_2,Competitor Hotel 2,146.97,19,4.8
2022-01-01,PROP002,COMP_3,Competitor Hotel 3,129.46,7,4.2
2022-01-01,PROP003,COMP_1,Competitor Hotel 1,110.04,21,3.6
2022-01-01,PROP003,COMP_2,Competitor Hotel 2,120.83,30,4.3
2022-01-01,PROP003,COMP_3,Competitor Hotel 3,156.24,37,4.0
2022-01-01,PROP003,COMP_4,Competitor Hotel 4,126.45,10,3.8
2022-01-01,PROP003,COMP_5,Competitor Hotel 5,108.39,1,4.6
2022-01-01,PROP004,COMP_1,Competitor Hotel 1,68.17,10,4.4
2022-01-01,PROP004,COMP_2,Competitor Hotel 2,110.14,37,4.4
2022-01-01,PROP004,COMP_3,Competitor Hotel 3,145.23,35,3.2
2022-01-01,PROP005,COMP_1,Competitor Hotel 1,100.9,7,4.5
2022-01-01,PROP005,COMP_2,Competitor Hotel 2,139.86,32,4.8
2022-01-01,PROP005,COMP_3,Competitor Hotel 3,80.93,1,4.3
2022-01-01,PROP005,COMP_4,Competitor Hotel 4,88.76,37,3.6
2022-01-01,PROP005,COMP_5,Competitor Hotel 5,100.62,5,4.1
2022-01-01,PROP006,COMP_1,Competitor Hotel 1,47.02,7,5.1
2022-01-01,PROP006,COMP_2,Competitor Hotel 2,101.19,28,3.6
2022-01-01,PROP006,COMP_3,Competitor Hotel 3,81.03,43,2.9
2022-01-01,PROP006,COMP_4,Competitor Hotel 4,140.63,24,3.7
2022-01-01,PROP007,COMP_1,Competitor Hotel 1,61.73,6,3.6
