guest_id,room_id,room_type,preferred_floor,wants_breakfast,wants_parking,needs_accessibility,preferred_view,min_room_size_sqm,willing_to_pay_extra,rating
GUEST000001,PROP007_R0022,Family,4,True,False,False,Mountain View,32,False,5
GUEST000001,PROP010_R0015,Deluxe,3,True,True,False,City View,26,True,4
GUEST000001,PROP007_R0002,Family,4,True,True,False,Mountain View,46,False,4
GUEST000001,PROP004_R0007,Standard,2,True,False,False,Mountain View,19,True,5
GUEST000001,PROP002_R0026,Deluxe,5,True,False,False,Garden View,44,False,5
GUEST000001,PROP008_R0006,Standard,5,True,True,False,Standard,33,False,4
GUEST000002,PROP006_R0025,Suite,5,True,True,False,Garden View,45,True,4
GUEST000002,PROP007_R0019,Deluxe,2,True,True,False,City View,38,True,5
GUEST000002,PROP003_R0011,Deluxe,5,False,True,True,Mountain View,24,True,3
GUEST000002,PROP001_R0021,Suite,1,False,False,False,Garden View,50,False,5
GUEST000002,PROP004_R0029,Standard,4,True,False,False,Mountain View,26,False,5
GUEST000002,PROP009_R0005,Family,2,False,True,True,Mountain View,15,True,4
GUEST000002,PROP008_R0015,Standard,2,True,False,False,Garden View,20,False,5
GUEST000003,PROP007_R0007,Deluxe,4,False,True,True,Sea View,34,True,3
GUEST000003,PROP003_R0017,Suite,3,True,False,False,Standard,36,True,3
GUEST000003,PROP010_R0024,Deluxe,1,True,True,False,Standard,24,True,3
GUEST000003,PROP005_R0020,Deluxe,5,True,False,False,Sea View,28,False,4
GUEST000003,PROP001_R0002,Deluxe,2,True,True,True,Mountain View,28,False,4
GUEST000004,PROP004_R0022,Standard,3,True,True,False,City View,30,False,4
GUEST000004,PROP007_R0018,Deluxe,5,False,True,False,Garden View,23,True,3
GUEST000004,PROP009_R0028,Standard,3,False,True,False,City View,30,True,5
GUEST000005,PROP003_R0005,Standard,3,False,True,False,Standard,33,True,4
GUEST000005,PROP006_R0016,Suite,3,False,False,False,Mountain View,22,True,4
GUEST000005,PROP004_R0005,Standard,4,True,False,False,Mountain View,32,True,3
GUEST000005,PROP009_R0027,Deluxe,4,True,False,False,Standard,21,False,3
GUEST000006,PROP002_R0026,Deluxe,4,True,True,False,Standard,19,True,5
GUEST000006,PROP004_R0029,Standard,4,True,True,False,Sea View,40,False,5
GUEST000006,PROP005_R0014,Standard,1,True,True,False,Standard,18,False,5
GUEST000006,PROP004_R0019,Standard,4,False,False,False,City View,15,False,5
GUEST000006,PROP001_R0022,Deluxe,2,True,False,False,Mountain View,22,False,3
GUEST000006,PROP007_R0008,Standard,3,False,False,False,Mountain View,48,True,4
GUEST000006,PROP006_R0001,Suite,1,True,True,False,Mountain View,33,True,5
GUEST000007,PROP006_R0010,Suite,5,True,False,False,Garden View,19,True,4
GUEST000007,PROP010_R0008,Deluxe,5,True,True,False,Garden View,34,True,3
GUEST000007,PROP008_R0017,Standard,3,True,False,False,Standard,37,False,4
GUEST000007,PROP002_R0025,Suite,4,True,True,False,Garden View,40,False,5
GUEST000008,PROP010_R0007,Suite,3,True,False,False,Garden View,47,True,3
GUEST000008,PROP006_R0028,Family,4,False,False,False,Standard,18,True,5
GUEST000008,PROP010_R0010,Family,4,True,False,True,Mountain View,17,False,5
GUEST000008,PROP009_R0013,Family,3,True,False,False,Standard,45,False,5
GUEST000008,PROP003_R0013,Standard,4,True,False,False,Sea View,18,False,4
GUEST000008,PROP004_R0013,Suite,1,False,True,False,City View,49,False,4
GUEST000008,PROP005_R0018,Penthouse,3,False,False,False,City View,16,True,5
GUEST000008,PROP010_R0023,Family,4,True,True,False,Garden View,39,True,3
GUEST000009,PROP010_R0010,Family,3,True,False,False,Garden View,18,True,3
GUEST000009,PROP010_R0022,Standard,2,True,False,False,Garden View,39,True,5
GUEST000010,PROP004_R0029,Standard,4,True,False,False,Garden View,40,False,5
GUEST000010,PROP004_R0019,Standard,2,True,False,False,Standard,33,True,4
GUEST000010,PROP008_R0002,Penthouse,5,False,False,False,Standard,47,False,4
GUEST000010,PROP004_R0018,Standard,5,False,True,True,City View,29,True,4
GUEST000010,PROP007_R0009,Standard,3,True,False,False,City View,38,False,5
GUEST000010,PROP003_R0015,Standard,2,True,False,False,Garden View,37,False,3
GUEST000010,PROP007_R0021,Family,3,True,False,False,Mountain View,32,True,5
GUEST000011,PROP007_R0001,Standard,5,False,True,False,Mountain View,44,False,3
GUEST000011,PROP010_R0001,Deluxe,3,False,True,False,Sea View,48,False,3
GUEST000011,PROP009_R0023,Penthouse,3,True,False,False,Garden View,30,True,4
GUEST000011,PROP007_R0013,Suite,5,True,False,False,Garden View,45,False,5
GUEST000011,PROP004_R0010,Deluxe,5,True,False,False,Garden View,24,False,5
GUEST000012,PROP008_R0001,Suite,5,True,False,False,Sea View,46,False,5
GUEST000012,PROP009_R0006,Standard,4,False,True,False,Standard,49,False,5
GUEST000012,PROP003_R0015,Standard,3,False,False,False,City View,31,False,4
GUEST000012,PROP003_R0018,Standard,5,False,True,False,Standard,23,True,5
GUEST000012,PROP007_R0003,Standard,4,True,False,False,Mountain View,44,True,4
GUEST000012,PROP004_R0023,Suite,3,False,False,False,Sea View,20,False,5
GUEST000012,PROP001_R0005,Standard,5,True,True,True,Standard,32,True,3
GUEST000013,PROP007_R0010,Deluxe,3,False,False,False,Mountain View,23,True,5
GUEST000013,PROP006_R0006,Standard,4,False,False,False,Mountain View,29,False,4
GUEST000013,PROP001_R0028,Deluxe,3,True,False,False,Mountain View,22,True,3
GUEST000013,PROP009_R0003,Standard,3,True,False,False,Mountain View,45,False,5
GUEST000013,PROP009_R0013,Family,2,True,True,False,Mountain View,37,False,5
GUEST000014,PROP007_R0013,Suite,5,True,True,False,Sea View,20,False,5
GUEST000014,PROP009_R0002,Standard,5,True,True,False,City View,15,False,5
GUEST000014,PROP004_R0019,Standard,5,True,True,False,Garden View,46,False,5
GUEST000014,PROP009_R0029,Standard,4,True,False,False,Standard,38,False,5
GUEST000014,PROP006_R0021,Deluxe,4,True,True,False,City View,27,True,5
GUEST000015,PROP010_R0016,Deluxe,1,False,True,True,Standard,34,True,4
GUEST000015,PROP002_R0019,Suite,4,True,True,False,Mountain View,32,False,4
GUEST000015,PROP002_R0005,Standard,1,False,True,False,City View,21,False,5
GUEST000015,PROP005_R0025,Family,5,False,True,False,Mountain View,34,False,3
GUEST000015,PROP005_R0026,Deluxe,3,False,True,False,City View,30,False,5
GUEST000015,PROP002_R0026,Deluxe,5,True,False,False,Garden View,41,True,4
GUEST000015,PROP010_R0008,Deluxe,2,True,True,False,Mountain View,18,False,4
GUEST000016,PROP003_R0016,Deluxe,1,True,False,False,Mountain View,22,False,3
GUEST000016,PROP005_R0020,Deluxe,4,True,False,False,Mountain View,36,False,4
GUEST000016,PROP008_R0006,Standard,4,True,False,False,Standard,43,False,5
GUEST000016,PROP006_R0007,Deluxe,4,True,True,False,Mountain View,22,True,5
GUEST000016,PROP008_R0020,Deluxe,5,False,False,False,Sea View,40,True,5
GUEST000016,PROP001_R0017,Suite,4,True,True,False,Sea View,16,True,5
GUEST000016,PROP006_R0026,Standard,1,True,False,False,Standard,19,False,5
GUEST000017,PROP010_R0003,Deluxe,1,True,True,False,Mountain View,24,True,4
GUEST000017,PROP004_R0017,Penthouse,2,True,False,False,Mountain View,36,False,5
GUEST000017,PROP010_R0028,Deluxe,4,True,True,False,Garden View,28,False,5
GUEST000017,PROP008_R0006,Standard,4,False,True,False,Garden View,48,True,3
GUEST000017,PROP009_R0004,Standard,3,True,True,False,Standard,36,False,5
GUEST000017,PROP007_R0003,Standard,4,True,False,False,Mountain View,45,True,5
GUEST000018,PROP001_R0019,Standard,5,True,False,False,Garden View,25,False,5
GUEST000018,PROP008_R0020,Deluxe,2,True,True,False,Sea View,23,True,4
GUEST000019,PROP009_R0019,Deluxe,1,False,True,True,Mountain View,33,True,4
GUEST000019,PROP003_R0027,Standard,3,False,True,False,Standard,22,False,5
GUEST000019,PROP007_R0018,Deluxe,2,True,False,False,Garden View,33,False,4
GUEST000019,PROP004_R0024,Deluxe,3,True,False,False,Standard,38,True,5
GUEST000020,PROP008_R0016,Standard,3,True,True,False,Sea View,40,True,5
GUEST000020,PROP004_R0026,Deluxe,5,False,False,False,City View,21,False,4
GUEST000020,PROP010_R0013,Deluxe,1,True,False,False,City View,28,False,4
GUEST000020,PROP001_R0015,Suite,2,False,False,False,Garden View,35,False,5
GUEST000020,PROP006_R0015,Standard,3,True,False,False,Garden View,43,False,4
GUEST000021,PROP007_R0015,Family,3,True,True,False,Mountain View,17,False,5
GUEST000021,PROP004_R0019,Standard,2,True,True,False,Mountain View,34,False,5
GUEST000021,PROP010_R0004,Standard,1,True,False,False,Mountain View,49,True,3
GUEST000021,PROP003_R0029,Deluxe,1,False,True,False,Sea View,28,False,4
GUEST000022,PROP008_R0025,Suite,2,True,True,False,Garden View,35,False,5
GUEST000022,PROP005_R0016,Family,1,True,True,False,Mountain View,17,False,5
GUEST000022,PROP006_R0011,Standard,3,True,True,False,Standard,27,True,5
GUEST000022,PROP006_R0030,Suite,2,False,False,False,Garden View,46,False,5
GUEST000022,PROP003_R0015,Standard,5,False,False,False,Mountain View,40,True,5
GUEST000022,PROP007_R0006,Standard,1,True,True,False,Mountain View,29,False,5
GUEST000023,PROP005_R0022,Family,3,True,True,True,Sea View,46,True,3
GUEST000023,PROP007_R0002,Family,1,True,True,False,City View,42,True,5
GUEST000023,PROP005_R0005,Family,1,True,True,False,Mountain View,16,True,4
GUEST000024,PROP010_R0008,Deluxe,2,False,False,False,Garden View,49,True,4
GUEST000024,PROP009_R0004,Standard,5,True,True,False,Sea View,34,True,3
GUEST000024,PROP004_R0011,Deluxe,2,True,False,False,Garden View,23,True,5
GUEST000024,PROP004_R0008,Deluxe,3,True,True,False,City View,32,True,5
GUEST000024,PROP003_R0009,Standard,2,True,False,False,Sea View,21,False,4
GUEST000024,PROP001_R0005,Standard,5,False,False,False,Mountain View,17,False,5
GUEST000024,PROP010_R0005,Deluxe,2,False,False,False,Garden View,29,False,4
GUEST000024,PROP010_R0001,Deluxe,4,False,True,True,Standard,18,False,5
GUEST000025,PROP005_R0027,Suite,1,False,True,False,Mountain View,42,False,5
GUEST000025,PROP003_R0018,Standard,1,True,False,False,Mountain View,27,True,5
GUEST000025,PROP001_R0009,Standard,4,False,False,False,City View,28,False,4
GUEST000026,PROP006_R0004,Standard,2,True,False,True,Garden View,17,False,4
GUEST000026,PROP007_R0007,Deluxe,3,False,True,False,Garden View,22,False,4
GUEST000027,PROP007_R0010,Deluxe,5,True,True,False,Sea View,24,True,5
GUEST000027,PROP009_R0027,Deluxe,3,True,False,False,Garden View,49,True,5
GUEST000028,PROP001_R0001,Standard,1,True,True,False,City View,41,False,5
GUEST000028,PROP010_R0010,Family,2,False,True,False,Garden View,23,False,5
GUEST000028,PROP002_R0001,Standard,3,True,False,False,Garden View,39,False,4
GUEST000028,PROP010_R0024,Deluxe,3,True,False,False,Sea View,27,False,5
GUEST000028,PROP010_R0020,Standard,4,True,True,False,Garden View,49,True,5
GUEST000029,PROP001_R0008,Deluxe,5,False,False,False,Garden View,31,True,5
GUEST000029,PROP007_R0008,Standard,4,False,False,False,Garden View,24,True,4
GUEST000030,PROP002_R0006,Standard,1,True,True,False,Standard,29,False,5
GUEST000030,PROP006_R0008,Deluxe,4,True,False,False,City View,22,True,3
GUEST000030,PROP003_R0025,Standard,1,True,True,False,Sea View,38,True,4
GUEST000030,PROP005_R0016,Family,2,True,True,False,Mountain View,15,False,4
GUEST000030,PROP009_R0029,Standard,3,True,False,False,City View,33,True,4
GUEST000030,PROP006_R0005,Deluxe,1,True,False,False,Garden View,32,True,4
GUEST000030,PROP002_R0009,Standard,2,True,True,False,Sea View,21,False,4
GUEST000031,PROP007_R0013,Suite,1,True,True,False,Standard,21,True,3
GUEST000031,PROP004_R0020,Family,1,True,False,False,Sea View,48,True,5
GUEST000031,PROP003_R0029,Deluxe,3,False,True,False,City View,36,False,5
GUEST000031,PROP002_R0016,Standard,1,False,False,False,Garden View,17,False,4
GUEST000032,PROP005_R0028,Standard,5,False,True,False,Garden View,47,True,5
GUEST000032,PROP007_R0010,Deluxe,1,False,False,False,Sea View,21,True,3
GUEST000032,PROP003_R0013,Standard,1,True,False,False,City View,47,False,5
GUEST000033,PROP002_R0005,Standard,4,True,True,False,Standard,16,True,3
GUEST000033,PROP009_R0020,Standard,4,True,True,False,Sea View,40,True,5
GUEST000033,PROP009_R0020,Standard,1,True,False,False,Garden View,29,False,4
GUEST000034,PROP003_R0022,Suite,3,True,False,False,City View,37,False,4
GUEST000034,PROP003_R0025,Standard,4,True,False,False,Mountain View,48,False,5
GUEST000034,PROP009_R0029,Standard,5,True,True,False,Mountain View,24,True,3
GUEST000034,PROP002_R0006,Standard,3,True,False,True,Sea View,34,False,4
GUEST000034,PROP004_R0005,Standard,2,True,True,False,Standard,43,True,3
GUEST000034,PROP008_R0027,Family,2,False,False,False,Mountain View,25,False,3
GUEST000034,PROP008_R0014,Deluxe,3,True,False,False,Sea View,20,False,5
GUEST000035,PROP004_R0028,Suite,3,False,True,False,Garden View,39,False,4
GUEST000035,PROP007_R0012,Standard,2,True,True,False,Standard,18,False,5
GUEST000035,PROP005_R0024,Standard,2,False,True,False,City View,35,True,4
GUEST000035,PROP003_R0011,Deluxe,4,True,False,True,Mountain View,29,False,3
