date,property_id,occupancy_rate,available_rooms,occupied_rooms,average_nightly_rate,day_of_week,season,is_holiday
2022-01-01,PROP001,0.491,15,14,238.8,Saturday,Winter,True
2022-01-01,PROP002,0.494,15,14,246.09,Saturday,Winter,True
2022-01-01,PROP003,0.584,12,17,231.06,Saturday,Winter,True
2022-01-01,PROP004,0.502,14,15,252.99,Saturday,Winter,True
2022-01-01,PROP005,0.745,7,22,253.26,Saturday,Winter,True
2022-01-01,PROP006,0.73,8,21,230.97,Saturday,Winter,True
2022-01-01,PROP007,0.527,14,15,240.63,Saturday,Winter,True
2022-01-01,PROP008,0.555,13,16,264.78,Saturday,Winter,True
2022-01-01,PROP009,0.362,19,10,246.69,Saturday,Winter,True
2022-01-01,PROP010,0.458,16,13,237.39,Saturday,Winter,True
2022-01-02,PROP001,0.615,11,18,238.8,Sunday,Winter,True
2022-01-02,PROP002,0.599,12,17,246.09,Sunday,Winter,True
2022-01-02,PROP003,0.465,16,13,231.06,Sunday,Winter,True
2022-01-02,PROP004,0.522,14,15,252.99,Sunday,Winter,True
2022-01-02,PROP005,0.512,14,15,253.26,Sunday,Winter,True
2022-01-02,PROP006,0.655,10,19,230.97,Sunday,Winter,True
2022-01-02,PROP007,0.573,12,17,240.63,Sunday,Winter,True
2022-01-02,PROP008,0.607,11,18,264.78,Sunday,Winter,True
2022-01-02,PROP009,0.462,16,13,246.69,Sunday,Winter,True
2022-01-02,PROP010,0.579,12,17,237.39,Sunday,Winter,True
2022-01-03,PROP001,0.408,17,12,238.8,Monday,Winter,False
2022-01-03,PROP002,0.566,13,16,246.09,Monday,Winter,False
2022-01-03,PROP003,0.432,17,12,231.06,Monday,Winter,False
2022-01-03,PROP004,0.485,15,14,252.99,Monday,Winter,False
2022-01-03,PROP005,0.529,14,15,253.26,Monday,Winter,False
2022-01-03,PROP006,0.306,20,9,230.97,Monday,Winter,False
2022-01-03,PROP007,0.431,17,12,240.63,Monday,Winter,False
2022-01-03,PROP008,0.533,14,15,264.78,Monday,Winter,False
2022-01-03,PROP009,0.581,12,17,246.69,Monday,Winter,False
2022-01-03,PROP010,0.339,19,10,237.39,Monday,Winter,False
2022-01-04,PROP001,0.605,11,18,238.8,Tuesday,Winter,False
2022-01-04,PROP002,0.447,16,13,246.09,Tuesday,Winter,False
2022-01-04,PROP003,0.635,10,19,231.06,Tuesday,Winter,False
2022-01-04,PROP004,0.468,15,14,252.99,Tuesday,Winter,False
2022-01-04,PROP005,0.473,15,14,253.26,Tuesday,Winter,False
2022-01-04,PROP006,0.388,18,11,230.97,Tuesday,Winter,False
2022-01-04,PROP007,0.466,16,13,240.63,Tuesday,Winter,False
2022-01-04,PROP008,0.391,18,11,264.78,Tuesday,Winter,False
2022-01-04,PROP009,0.542,13,16,246.69,Tuesday,Winter,False
2022-01-04,PROP010,0.556,13,16,237.39,Tuesday,Winter,False
2022-01-05,PROP001,0.464,16,13,238.8,Wednesday,Winter,False
2022-01-05,PROP002,0.4,18,11,246.09,Wednesday,Winter,False
2022-01-05,PROP003,0.377,18,11,231.06,Wednesday,Winter,False
2022-01-05,PROP004,0.637,10,19,252.99,Wednesday,Winter,False
2022-01-05,PROP005,0.608,11,18,253.26,Wednesday,Winter,False
2022-01-05,PROP006,0.515,14,15,230.97,Wednesday,Winter,False
2022-01-05,PROP007,0.391,18,11,240.63,Wednesday,Winter,False
2022-01-05,PROP008,0.404,17,12,264.78,Wednesday,Winter,False
